time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,6.15E-05,0.003691485
0.033333333,5.085429257,2.638937829,10,0.000917942,0.051385021
0.05,5.085429257,2.638937829,10,0.000917093,-5.09E-05
0.066666667,5.085429257,2.638937829,10,0.00096705,0.002997456
0.083333333,5.085429257,2.638937829,10,0.001741383,0.046459982
0.1,5.085429257,2.638937829,10,0.001745646,0.000255779
0.116666667,5.085429257,2.638937829,10,0.001746068,2.53E-05
0.133333333,5.085429257,2.638937829,10,0.001798715,0.003158794
0.15,5.085429257,2.638937829,10,0.002581362,0.046958838
0.166666667,5.085429257,2.638937829,10,0.002607316,0.001557242
0.183333333,5.085429257,2.638937829,10,0.002608173,5.14E-05
0.2,5.085429257,2.638937829,10,0.00265382,0.002738827
0.216666667,5.085429257,2.638937829,10,0.003250331,0.035790678
0.233333333,5.085429257,2.638937829,10,0.003251708,8.26E-05
0.25,5.085429257,2.638937829,10,0.003251277,-2.58E-05
0.266666667,5.085429257,2.638937829,10,0.003252003,4.36E-05
0.283333333,5.085429257,2.638937829,10,0.003253304,7.80E-05
0.3,5.085429257,2.638937829,10,0.003253312,5.06E-07
0.316666667,5.085429257,2.638937829,10,0.003262234,0.000535299
0.333333333,5.085429257,2.638937829,10,0.004099185,0.050217048
0.35,5.085429257,2.638937829,10,0.004099118,-4.02E-06
0.366666667,5.085429257,2.638937829,10,0.004098687,-2.58E-05
0.383333333,5.085429257,2.638937829,10,0.004102255,0.000214052
0.4,5.085429257,2.638937829,10,0.004102246,-4.97E-07
0.416666667,5.085429257,2.638937829,10,0.00410223,-9.93E-07
0.433333333,5.085429257,2.638937829,10,0.004102197,-1.98E-06
0.45,5.085429257,2.638937829,10,0.004049961,-0.003134133
0.466666667,5.085429257,2.638937829,10,0.003613618,-0.026180581
0.483333333,5.085429257,2.638937829,10,0.003613195,-2.54E-05
0.5,5.085429257,2.638937829,10,0.003662903,0.002982444
0.516666667,5.085429257,2.638937829,10,0.00366287,-1.95E-06
0.533333333,5.085429257,2.638937829,10,0.003269569,-0.023598093
