time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,0.000183583,0.011014986
0.033333333,5.085429257,2.638937829,10,0.000183583,0
0.05,5.085429257,2.638937829,10,0.000234553,0.003058183
0.066666667,5.085429257,2.638937829,10,0.000234599,2.74E-06
0.083333333,5.085429257,2.638937829,10,0.000277837,0.002594304
0.1,5.085429257,2.638937829,10,0.000277788,-2.93E-06
0.116666667,5.085429257,2.638937829,10,0.00042926,0.009088304
0.133333333,5.085429257,2.638937829,10,0.000429696,2.62E-05
0.15,5.085429257,2.638937829,10,0.000436604,0.000414481
0.166666667,5.085429257,2.638937829,10,0.000435048,-9.33E-05
0.183333333,5.085429257,2.638937829,10,0.000435193,8.67E-06
0.2,5.085429257,2.638937829,10,0.000696347,0.015669268
0.216666667,5.085429257,2.638937829,10,0.000695911,-2.62E-05
0.233333333,5.085429257,2.638937829,10,0.000695566,-2.07E-05
0.25,5.085429257,2.638937829,10,0.000695425,-8.51E-06
0.266666667,5.085429257,2.638937829,10,0.000637429,-0.003479725
0.283333333,5.085429257,2.638937829,10,0.000638289,5.16E-05
0.3,5.085429257,2.638937829,10,0.000868216,0.013795646
0.316666667,5.085429257,2.638937829,10,0.00083865,-0.00177399
0.333333333,5.085429257,2.638937829,10,0.000839564,5.49E-05
0.35,5.085429257,2.638937829,10,0.000794267,-0.002717836
0.366666667,5.085429257,2.638937829,10,0.000795171,5.43E-05
0.383333333,5.085429257,2.638937829,10,0.000793251,-0.000115217
0.4,5.085429257,2.638937829,10,0.000792892,-2.16E-05
0.416666667,5.085429257,2.638937829,10,0.000793293,2.40E-05
0.433333333,5.085429257,2.638937829,10,0.000841565,0.002896348
0.45,5.085429257,2.638937829,10,0.001082829,0.014475804
0.466666667,5.085429257,2.638937829,10,0.001080343,-0.000149126
0.483333333,5.085429257,2.638937829,10,0.001208349,0.007680372
0.5,5.085429257,2.638937829,10,0.001451891,0.014612486
0.516666667,5.085429257,2.638937829,10,0.001453712,0.000109293
0.533333333,5.085429257,2.638937829,10,0.001884283,0.025834219
0.55,5.085429257,2.638937829,10,0.001985949,0.006099978
0.566666667,5.085429257,2.638937829,10,0.002137527,0.009094684
0.583333333,5.085429257,2.638937829,10,0.002268429,0.007854139
0.6,5.085429257,2.638937829,10,0.002711964,0.026612098
0.616666667,5.085429257,2.638937829,10,0.002856504,0.008672413
0.633333333,5.085429257,2.638937829,10,0.002915425,0.003535263
0.65,5.085429257,2.638937829,10,0.003437309,0.031313022
0.666666667,5.085429257,2.638937829,10,0.003564251,0.007616536
0.683333333,5.085429257,2.638937829,10,0.003678114,0.006831778
0.7,5.085429257,2.638937829,10,0.004048635,0.022231215
0.716666667,5.085429257,2.638937829,10,0.004819989,0.046281264
0.733333333,5.085429257,2.638937829,10,0.004964772,0.008686967
0.75,5.085429257,2.638937829,10,0.005347487,0.022962879
