time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,0.000265476,0.015928565
0.033333333,5.085429257,2.638937829,10,0.001396396,0.067855208
0.05,5.085429257,2.638937829,10,0.001360388,-0.002160486
0.066666667,5.085429257,2.638937829,10,0.001439236,0.004730902
0.083333333,5.085429257,2.638937829,10,0.001949908,0.030640279
0.1,5.085429257,2.638937829,10,0.001994982,0.00270445
0.116666667,5.085429257,2.638937829,10,0.002734828,0.044390741
0.133333333,5.085429257,2.638937829,10,0.00266908,-0.003944879
0.15,5.085429257,2.638937829,10,0.003084471,0.024923483
0.166666667,5.085429257,2.638937829,10,0.003173039,0.005314075
0.183333333,5.085429257,2.638937829,10,0.004170933,0.059873625
0.2,5.085429257,2.638937829,10,0.004335435,0.009870108
0.216666667,5.085429257,2.638937829,10,0.004339938,0.000270211
0.233333333,5.085429257,2.638937829,10,0.00446294,0.007380089
0.25,5.085429257,2.638937829,10,0.005511266,0.062899601
0.266666667,5.085429257,2.638937829,10,0.005602408,0.005468505
0.283333333,5.085429257,2.638937829,10,0.005895187,0.017566717
0.3,5.085429257,2.638937829,10,0.006021287,0.007566037
0.316666667,5.085429257,2.638937829,10,0.006211241,0.011397222
0.333333333,5.085429257,2.638937829,10,0.006834012,0.037366296
0.35,5.085429257,2.638937829,10,0.006936165,0.006129176
0.366666667,5.085429257,2.638937829,10,0.006986047,0.002992907
0.383333333,5.085429257,2.638937829,10,0.00694253,-0.002611015
0.4,5.085429257,2.638937829,10,0.00700206,0.003571802
0.416666667,5.085429257,2.638937829,10,0.007904724,0.054159797
0.433333333,5.085429257,2.638937829,10,0.00791897,0.000854772
0.45,5.085429257,2.638937829,10,0.007947867,0.001733805
0.466666667,5.085429257,2.638937829,10,0.007996368,0.002910086
0.483333333,5.085429257,2.638937829,10,0.008043935,0.002854011
0.5,5.085429257,2.638937829,10,0.008038811,-0.00030742
0.516666667,5.085429257,2.638937829,10,0.008044218,0.000324426
