time,omega,k,h,实际位移m,速度m/s
0,6.40703863,4.188790205,10,0,0
0.016666667,6.40703863,4.188790205,10,0.000293208,0.017592505
0.033333333,6.40703863,4.188790205,10,0.000294194,5.92E-05
0.05,6.40703863,4.188790205,10,0.000920911,0.037602997
0.066666667,6.40703863,4.188790205,10,0.001140616,0.013182287
0.083333333,6.40703863,4.188790205,10,0.001565046,0.025465824
0.1,6.40703863,4.188790205,10,0.001903686,0.020318396
0.116666667,6.40703863,4.188790205,10,0.002017902,0.006852973
0.133333333,6.40703863,4.188790205,10,0.002537224,0.031159314
0.15,6.40703863,4.188790205,10,0.002540168,0.000176651
0.166666667,6.40703863,4.188790205,10,0.002811581,0.016284755
0.183333333,6.40703863,4.188790205,10,0.003106943,0.017721737
0.2,6.40703863,4.188790205,10,0.003123407,0.000987799
0.216666667,6.40703863,4.188790205,10,0.003614903,0.029489775
0.233333333,6.40703863,4.188790205,10,0.003615633,4.38E-05
0.25,6.40703863,4.188790205,10,0.003805005,0.011362366
0.266666667,6.40703863,4.188790205,10,0.003806823,0.00010903
0.283333333,6.40703863,4.188790205,10,0.00453002,0.043391854
0.3,6.40703863,4.188790205,10,0.004529394,-3.76E-05
0.316666667,6.40703863,4.188790205,10,0.004953764,0.025462196
0.333333333,6.40703863,4.188790205,10,0.004945869,-0.000473733
0.35,6.40703863,4.188790205,10,0.004990693,0.002689465
0.366666667,6.40703863,4.188790205,10,0.005013371,0.001360691
0.383333333,6.40703863,4.188790205,10,0.005014634,7.58E-05
0.4,6.40703863,4.188790205,10,0.005630108,0.036928446
0.416666667,6.40703863,4.188790205,10,0.005630463,2.13E-05
0.433333333,6.40703863,4.188790205,10,0.006253725,0.037395719
0.45,6.40703863,4.188790205,10,0.006223023,-0.001842139
0.466666667,6.40703863,4.188790205,10,0.006224294,7.63E-05
0.483333333,6.40703863,4.188790205,10,0.006279093,0.003287952
0.5,6.40703863,4.188790205,10,0.006891511,0.036745073
0.516666667,6.40703863,4.188790205,10,0.006891721,1.26E-05
0.533333333,6.40703863,4.188790205,10,0.007308567,0.025010813
0.55,6.40703863,4.188790205,10,0.007376294,0.004063581
0.566666667,6.40703863,4.188790205,10,0.007940943,0.033878968
0.583333333,6.40703863,4.188790205,10,0.007943181,0.000134277
0.6,6.40703863,4.188790205,10,0.008001022,0.003470473
0.616666667,6.40703863,4.188790205,10,0.008588534,0.035250671
0.633333333,6.40703863,4.188790205,10,0.008666865,0.004699868
0.65,6.40703863,4.188790205,10,0.009059842,0.02357865
0.666666667,6.40703863,4.188790205,10,0.009061871,0.000121719
0.683333333,6.40703863,4.188790205,10,0.009187601,0.007543782
0.7,6.40703863,4.188790205,10,0.009188263,3.98E-05
0.716666667,6.40703863,4.188790205,10,0.009586916,0.023919145
0.733333333,6.40703863,4.188790205,10,0.009679711,0.005567735
0.75,6.40703863,4.188790205,10,0.009679401,-1.86E-05
0.766666667,6.40703863,4.188790205,10,0.009679556,9.31E-06
0.783333333,6.40703863,4.188790205,10,0.009742285,0.003763719
0.8,6.40703863,4.188790205,10,0.009742039,-1.48E-05
0.816666667,6.40703863,4.188790205,10,0.009742118,4.75E-06
0.833333333,6.40703863,4.188790205,10,0.010006339,0.015853285
0.85,6.40703863,4.188790205,10,0.01009423,0.00527345
0.866666667,6.40703863,4.188790205,10,0.010093633,-3.58E-05
0.883333333,6.40703863,4.188790205,10,0.010093552,-4.83E-06
0.9,6.40703863,4.188790205,10,0.010421101,0.019652899
0.916666667,6.40703863,4.188790205,10,0.010471682,0.003034905
0.933333333,6.40703863,4.188790205,10,0.010471926,1.46E-05
0.95,6.40703863,4.188790205,10,0.010523256,0.003079792
0.966666667,6.40703863,4.188790205,10,0.010579734,0.003388672
0.983333333,6.40703863,4.188790205,10,0.010635625,0.003353453
1,6.40703863,4.188790205,10,0.010743723,0.006485899
1.016666667,6.40703863,4.188790205,10,0.010743638,-5.12E-06
1.033333333,6.40703863,4.188790205,10,0.010792075,0.0029062
1.05,6.40703863,4.188790205,10,0.010854487,0.003744722
1.066666667,6.40703863,4.188790205,10,0.010921358,0.004012258
1.083333333,6.40703863,4.188790205,10,0.011075354,0.009239754
1.1,6.40703863,4.188790205,10,0.011449656,0.022458179
1.116666667,6.40703863,4.188790205,10,0.011507163,0.00345038
1.133333333,6.40703863,4.188790205,10,0.011685739,0.01071459
1.15,6.40703863,4.188790205,10,0.011686263,3.14E-05
1.166666667,6.40703863,4.188790205,10,0.011795389,0.006547527
1.183333333,6.40703863,4.188790205,10,0.011795297,-5.52E-06
1.2,6.40703863,4.188790205,10,0.012029584,0.014057222
1.216666667,6.40703863,4.188790205,10,0.012316638,0.017223261
1.233333333,6.40703863,4.188790205,10,0.012421955,0.006319029
1.25,6.40703863,4.188790205,10,0.012539325,0.007042165
1.266666667,6.40703863,4.188790205,10,0.012735668,0.011780559
1.283333333,6.40703863,4.188790205,10,0.012734305,-8.18E-05
1.3,6.40703863,4.188790205,10,0.012734113,-1.15E-05
1.316666667,6.40703863,4.188790205,10,0.013302393,0.034096816
1.333333333,6.40703863,4.188790205,10,0.013301368,-6.15E-05
1.35,6.40703863,4.188790205,10,0.013304944,0.000214572
1.366666667,6.40703863,4.188790205,10,0.013548334,0.014603427
1.383333333,6.40703863,4.188790205,10,0.013586642,0.00229849
1.4,6.40703863,4.188790205,10,0.014125125,0.032308955
1.416666667,6.40703863,4.188790205,10,0.014126494,8.21E-05
1.433333333,6.40703863,4.188790205,10,0.014130176,0.000220941
1.45,6.40703863,4.188790205,10,0.014130306,7.81E-06
1.466666667,6.40703863,4.188790205,10,0.014567426,0.0262272
1.483333333,6.40703863,4.188790205,10,0.014567101,-1.95E-05
1.5,6.40703863,4.188790205,10,0.014951278,0.023050602
1.516666667,6.40703863,4.188790205,10,0.014951215,-3.75E-06
1.533333333,6.40703863,4.188790205,10,0.01495069,-3.15E-05
1.55,6.40703863,4.188790205,10,0.015150602,0.011994734
1.566666667,6.40703863,4.188790205,10,0.015408711,0.015486531
1.583333333,6.40703863,4.188790205,10,0.015408872,9.64E-06
1.6,6.40703863,4.188790205,10,0.015663458,0.01527517
1.616666667,6.40703863,4.188790205,10,0.015627597,-0.002151652
1.633333333,6.40703863,4.188790205,10,0.015679866,0.003136123
1.65,6.40703863,4.188790205,10,0.015680193,1.96E-05
1.666666667,6.40703863,4.188790205,10,0.015924256,0.014643779
1.683333333,6.40703863,4.188790205,10,0.016291385,0.022027755
1.7,6.40703863,4.188790205,10,0.016138708,-0.009160633
1.716666667,6.40703863,4.188790205,10,0.016138816,6.50E-06
1.733333333,6.40703863,4.188790205,10,0.016137115,-0.000102108
1.75,6.40703863,4.188790205,10,0.015930487,-0.012397645
1.766666667,6.40703863,4.188790205,10,0.016039371,0.006533026
1.783333333,6.40703863,4.188790205,10,0.016227237,0.011271955
1.8,6.40703863,4.188790205,10,0.016047528,-0.010782548
1.816666667,6.40703863,4.188790205,10,0.016111332,0.003828224
1.833333333,6.40703863,4.188790205,10,0.016287319,0.010559225
1.85,6.40703863,4.188790205,10,0.016287267,-3.11E-06
1.866666667,6.40703863,4.188790205,10,0.01626318,-0.001445189
1.883333333,6.40703863,4.188790205,10,0.016263002,-1.07E-05
1.9,6.40703863,4.188790205,10,0.016279031,0.000961781
1.916666667,6.40703863,4.188790205,10,0.016634993,0.021357683
1.933333333,6.40703863,4.188790205,10,0.016635918,5.55E-05
1.95,6.40703863,4.188790205,10,0.016945151,0.018553998
1.966666667,6.40703863,4.188790205,10,0.016873479,-0.004300323
1.983333333,6.40703863,4.188790205,10,0.016925536,0.003123421
2,6.40703863,4.188790205,10,0.017196465,0.016255716
2.016666667,6.40703863,4.188790205,10,0.017196384,-4.85E-06
2.033333333,6.40703863,4.188790205,10,0.017741194,0.032688595
2.05,6.40703863,4.188790205,10,0.017740723,-2.82E-05
2.066666667,6.40703863,4.188790205,10,0.017736279,-0.000266639
2.083333333,6.40703863,4.188790205,10,0.018105744,0.022167886
2.1,6.40703863,4.188790205,10,0.018107592,0.000110896
2.116666667,6.40703863,4.188790205,10,0.018739104,0.037890682
2.133333333,6.40703863,4.188790205,10,0.018685123,-0.003238846
2.15,6.40703863,4.188790205,10,0.018955123,0.016200026
2.166666667,6.40703863,4.188790205,10,0.019113079,0.009477353
2.183333333,6.40703863,4.188790205,10,0.019473167,0.021605271
2.2,6.40703863,4.188790205,10,0.019564411,0.005474614
2.216666667,6.40703863,4.188790205,10,0.01994705,0.02295835
