time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,0.00028101,0.016860624
0.033333333,5.085429257,2.638937829,10,0.000818672,0.032259704
0.05,5.085429257,2.638937829,10,0.000889117,0.004226675
0.066666667,5.085429257,2.638937829,10,0.001096981,0.012471846
0.083333333,5.085429257,2.638937829,10,0.001298438,0.012087421
0.1,5.085429257,2.638937829,10,0.00178434,0.029154135
0.116666667,5.085429257,2.638937829,10,0.001785195,5.13E-05
0.133333333,5.085429257,2.638937829,10,0.002093894,0.018521896
0.15,5.085429257,2.638937829,10,0.002093016,-5.26E-05
0.166666667,5.085429257,2.638937829,10,0.002210121,0.007026293
0.183333333,5.085429257,2.638937829,10,0.002212684,0.000153804
0.2,5.085429257,2.638937829,10,0.002395851,0.010989971
0.216666667,5.085429257,2.638937829,10,0.0026941,0.017894949
0.233333333,5.085429257,2.638937829,10,0.002844669,0.00903417
0.25,5.085429257,2.638937829,10,0.002844186,-2.90E-05
0.266666667,5.085429257,2.638937829,10,0.003193392,0.020952344
0.283333333,5.085429257,2.638937829,10,0.003379012,0.011137179
0.3,5.085429257,2.638937829,10,0.003218201,-0.009648651
0.316666667,5.085429257,2.638937829,10,0.00328351,0.003918549
0.333333333,5.085429257,2.638937829,10,0.0033454,0.0037134
0.35,5.085429257,2.638937829,10,0.003355899,0.0006299
0.366666667,5.085429257,2.638937829,10,0.003356,6.06E-06
0.383333333,5.085429257,2.638937829,10,0.003365978,0.00059873
0.4,5.085429257,2.638937829,10,0.003367248,7.62E-05
0.416666667,5.085429257,2.638937829,10,0.003909435,0.032531188
0.433333333,5.085429257,2.638937829,10,0.003928074,0.001118344
0.45,5.085429257,2.638937829,10,0.003926273,-0.000108038
0.466666667,5.085429257,2.638937829,10,0.003797328,-0.007736741
0.483333333,5.085429257,2.638937829,10,0.003796803,-3.15E-05
0.5,5.085429257,2.638937829,10,0.003905454,0.006519044
0.516666667,5.085429257,2.638937829,10,0.003857318,-0.00288816
0.533333333,5.085429257,2.638937829,10,0.003854609,-0.000162532
0.55,5.085429257,2.638937829,10,0.003854216,-2.36E-05
0.566666667,5.085429257,2.638937829,10,0.004369534,0.030919059
0.583333333,5.085429257,2.638937829,10,0.004368817,-4.30E-05
0.6,5.085429257,2.638937829,10,0.00490181,0.031979581
0.616666667,5.085429257,2.638937829,10,0.004899654,-0.000129342
0.633333333,5.085429257,2.638937829,10,0.00476172,-0.008276056
0.65,5.085429257,2.638937829,10,0.00529088,0.03174959
0.666666667,5.085429257,2.638937829,10,0.005290772,-6.49E-06
0.683333333,5.085429257,2.638937829,10,0.005422098,0.007879597
0.7,5.085429257,2.638937829,10,0.005894178,0.028324771
0.716666667,5.085429257,2.638937829,10,0.005974215,0.004802214
0.733333333,5.085429257,2.638937829,10,0.006037069,0.003771269
0.75,5.085429257,2.638937829,10,0.00638658,0.020970659
0.766666667,5.085429257,2.638937829,10,0.006703814,0.019034035
0.783333333,5.085429257,2.638937829,10,0.006713543,0.000583747
0.8,5.085429257,2.638937829,10,0.007488133,0.046475418
0.816666667,5.085429257,2.638937829,10,0.008148064,0.039595837
0.833333333,5.085429257,2.638937829,10,0.008148351,1.72E-05
